"ID","Indicator","Red","Green","Blue"
60488,"0",218,166,140
60489,"0",255,255,218
60490,"0",228,203,178
60491,"0",255,214,169
60492,"0",255,236,211
60493,"0",255,227,188
60494,"0",239,232,206
60495,"0",255,251,196
60496,"0",255,226,172
60497,"0",255,216,158
60498,"0",253,255,232
60499,"0",255,255,212
60500,"0",255,210,154
60501,"0",250,204,146
60502,"0",255,255,238
60503,"0",255,255,218
60504,"0",255,255,240
60505,"0",255,255,218
60506,"0",246,199,146
60507,"0",255,255,224
60508,"0",241,212,149
60509,"0",236,199,146
60510,"0",255,255,243
60511,"0",255,255,238
60512,"0",255,255,222
60513,"0",233,189,145
60514,"0",227,186,153
60515,"0",227,184,148
60516,"0",255,255,229
60517,"0",255,255,225
60518,"0",255,253,221
60519,"0",255,255,211
60520,"0",230,185,141
60521,"0",230,230,204
60522,"0",207,160,116
60523,"0",255,255,204
60524,"0",221,174,122
60525,"0",220,220,196
60526,"0",169,119,101
60527,"0",145,112,96
60528,"0",255,255,201
60529,"0",255,255,200
60530,"0",214,208,188
60531,"0",121,98,86
60532,"0",255,255,201
60533,"0",114,99,81
60534,"0",115,97,80
60535,"0",207,201,182
60536,"0",200,199,178
60537,"0",111,101,84
60538,"0",255,255,203
60539,"0",133,118,107
60540,"0",204,196,174
60541,"0",255,255,207
60542,"0",122,105,87
60543,"0",174,148,146
60544,"0",210,200,174
60545,"0",255,255,214
60546,"0",242,249,187
60547,"0",255,255,208
60548,"0",183,167,149
60549,"0",255,255,217
60550,"0",255,255,221
60551,"0",255,255,234
60552,"0",255,255,223
60553,"0",185,166,155
60554,"0",255,255,216
60555,"0",185,160,159
60556,"0",255,255,225
60557,"0",255,255,229
60558,"0",255,253,177
60559,"0",186,163,154
60560,"0",243,202,146
60561,"0",255,255,235
60562,"0",185,147,110
60563,"0",183,155,148
60564,"0",255,255,242
60565,"0",138,123,95
60566,"0",132,124,95
60567,"0",176,137,143
60568,"0",169,141,137
60569,"0",255,255,249
60570,"0",127,131,95
60571,"0",135,132,105
60572,"0",255,255,255
60573,"0",158,144,116
60574,"0",149,112,110
60575,"0",146,103,107
60576,"0",204,195,145
60577,"0",255,255,255
60578,"0",236,232,165
60579,"0",143,107,106
60580,"0",255,255,190
60581,"0",255,255,255
60582,"0",255,255,203
60583,"0",255,248,179
60584,"0",255,255,247
60585,"0",140,110,105
60586,"0",255,255,237
60587,"0",244,216,143
60588,"0",138,104,104
60589,"0",255,255,235
60590,"0",199,146,108
60591,"0",137,104,104
60592,"0",168,134,102
60593,"0",145,125,95
60594,"0",136,107,103
60595,"0",255,248,244
60596,"0",150,110,98
60597,"0",253,226,240
60598,"0",129,116,88
60599,"0",135,120,90
60600,"0",122,112,86
60601,"0",152,111,99
60602,"0",229,222,231
60603,"0",119,110,85
60604,"0",154,108,101
60605,"0",227,229,231
60606,"0",117,110,84
60607,"0",156,116,102
60608,"0",249,233,232
60609,"0",116,113,84
60610,"0",114,109,83
60611,"0",255,242,244
60612,"0",157,118,104
60613,"0",115,112,83
60614,"0",113,113,82
60615,"0",255,255,255
60616,"0",159,110,106
60617,"0",116,118,84
60618,"0",255,255,255
60619,"0",161,121,109
60620,"0",115,111,84
60621,"0",116,108,84
60622,"0",255,255,255
60623,"0",112,101,82
60624,"0",163,131,112
60625,"0",113,100,84
60626,"0",255,255,255
60627,"0",196,179,160
60628,"0",255,255,255
60629,"0",116,104,85
60630,"0",202,189,165
60631,"0",114,104,83
60632,"0",113,108,83
60633,"0",255,255,255
60634,"0",210,202,169
60635,"0",117,111,85
60636,"0",119,102,86
60637,"0",218,205,176
60638,"0",255,255,255
60639,"0",255,255,255
60640,"0",126,116,92
60641,"0",225,218,183
60642,"0",127,126,100
60643,"0",233,239,189
60644,"0",255,255,255
60645,"0",136,133,107
60646,"0",240,228,188
60647,"0",143,130,98
60648,"0",147,125,94
60649,"0",255,255,255
60650,"0",255,255,219
60651,"0",135,108,87
60652,"0",255,255,255
60653,"0",255,255,212
60654,"0",125,108,84
60655,"0",123,118,84
60656,"0",255,255,255
60657,"0",255,255,255
60658,"0",119,115,84
60659,"0",116,117,84
60660,"0",255,255,214
60661,"0",255,255,255
60662,"0",111,107,82
60663,"0",255,255,218
60664,"0",107,99,81
60665,"0",255,255,221
60666,"0",107,95,81
60667,"0",255,255,255
60668,"0",104,93,83
60669,"0",255,255,255
60670,"0",255,255,217
60671,"0",118,101,87
60672,"0",129,108,90
60673,"0",255,255,255
60674,"0",255,244,208
60675,"0",144,129,103
60676,"0",255,255,255
60677,"0",253,245,217
60678,"0",158,138,116
60679,"0",249,245,214
60680,"0",255,255,255
60681,"0",169,140,123
60682,"0",245,251,215
60683,"0",191,162,125
60684,"0",255,255,214
60685,"0",187,163,126
60686,"0",248,248,217
60687,"0",178,153,132
60688,"0",255,204,172
60689,"0",249,177,163
60690,"0",251,244,218
60691,"0",165,145,122
60692,"0",152,144,109
60693,"0",168,141,98
60694,"0",254,240,216
60695,"0",241,172,159
60696,"0",210,157,144
60697,"0",142,125,98
60698,"0",164,135,102
60699,"0",255,239,214
60700,"0",145,118,98
60701,"0",255,238,212
60702,"0",194,151,132
60703,"0",168,133,96
60704,"0",248,233,208
60705,"0",186,145,137
60706,"0",159,126,93
60707,"0",162,129,97
60708,"0",148,123,97
60709,"0",184,145,143
60710,"0",244,230,206
60711,"0",238,226,205
60712,"0",138,127,107
60713,"0",185,144,157
60714,"0",235,196,174
60715,"0",161,136,108
60716,"0",158,135,108
60717,"0",232,218,199
60718,"0",255,244,196
60719,"0",169,139,112
60720,"0",230,211,194
60721,"0",255,255,209
60722,"0",178,155,115
60723,"0",230,207,189
60724,"0",181,156,114
60725,"0",255,255,225
60726,"0",184,147,119
60727,"0",231,202,176
60728,"0",200,163,127
60729,"0",191,154,124
60730,"0",225,189,161
60731,"0",255,255,228
60732,"0",218,175,134
60733,"0",255,245,207
60734,"0",210,168,127
60735,"0",221,171,147
60736,"0",218,175,143
60737,"0",255,223,180
60738,"0",222,182,139
60739,"0",230,193,140
60740,"0",239,196,142
60741,"0",255,207,158
60742,"0",216,185,142
60743,"0",255,208,171
60744,"0",250,204,148
60745,"0",220,189,141
60746,"0",255,226,173
60747,"0",255,218,182
60748,"0",224,191,141
60749,"0",255,214,162
60750,"0",228,191,140
60751,"0",255,255,192
60752,"0",255,217,188
60753,"0",242,199,144
60754,"0",255,255,198
60755,"0",255,203,171
60756,"0",255,255,202
60757,"0",255,255,201
60758,"0",247,203,145
60759,"0",255,255,202
60760,"0",255,213,164
60761,"0",255,213,165
60762,"0",252,210,148
60763,"0",255,255,193
60764,"0",255,212,152
60765,"0",249,206,165
60766,"0",255,227,172
60767,"0",255,228,174
60768,"0",255,215,156
60769,"0",227,176,144
60770,"0",255,212,167
60771,"0",255,222,160
60772,"0",255,248,182
60773,"0",255,255,206
60774,"0",221,146,126
60775,"0",255,227,164
60776,"0",229,164,119
60777,"0",255,255,240
60778,"0",255,255,255
60779,"0",255,228,167
60780,"0",255,255,255
60781,"0",253,167,116
60782,"0",255,161,113
60783,"0",255,255,255
60784,"0",255,233,166
60785,"0",255,255,255
60786,"0",255,255,252
60787,"0",255,232,164
60788,"0",255,158,111
60789,"0",255,226,163
60790,"0",255,156,111
60791,"0",255,255,248
60792,"0",255,255,246
