,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses_from_Planetary_Systems_data_frame,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,discovery_reference,planetary parameter reference,description,url,subtitle
2557,1,1,0,0,5.33905686,,2.1,,,,,,,0.81,,4.58,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2558,1,2,0,0,18.870227,0.129,2.92,,,,,,,,,4.45,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2559,1,2,0,0,46.90232,0.237,2.53,,,,,,,,,4.45,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2560,1,3,0,0,2.5904434,,1.64,,,,,,,0.92,,4.52,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2561,1,3,0,0,5.3227406,,1.65,,,,,,,0.92,,4.52,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2562,1,3,0,0,9.20761013,,3.279,,,,,,,1.01,,4.21,,,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,,,
2563,1,1,0,0,1.13854338,,1.11,,,,,,,1.16,,4.29,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2564,1,1,0,0,1.09366356,,1.35,,,,,,,0.91,,4.51,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2565,1,1,0,0,308.5471,,3.46,,,,,,,1.31,,4.2,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2566,1,1,0,0,5.71668872,,1.89,,,,,,,0.9,,4.52,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2567,1,1,0,0,138.9442,,2.55,,,,,,,1.08,,4.38,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2568,1,1,0,0,364.758031,,3.14,,,,,,,0.71,,4.64,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2569,1,1,0,0,1.4444538,,1.18,,,,,,,0.81,,4.58,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2570,1,1,0,0,175.138819,,2.82,,,,,,,1.03,,4.42,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2571,1,1,0,0,133.3036741,,2.7,,,,,,,0.84,,4.57,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2572,1,5,0,0,33.040532,0.198,2.26,,,,,,,,,4.42,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2573,1,5,0,0,62.303276,0.303,2.95,,,,,,,,,4.42,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2574,1,5,0,0,20.54981883,,3.84,,,,,,,0.98,,4.45,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2575,1,5,0,0,3.93276465,,1.5,,,,,,,0.98,,4.45,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2576,1,5,0,0,9.91935684,,1.5,,,,,,,0.98,,4.45,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2577,2,1,0,0,125.4131177,,2.49,,,,,,,0.74,,4.63,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2578,1,1,0,0,8.40691199,,1.16,,,,,,,0.86,,4.56,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2579,1,4,0,0,3.95116882,,0.76,0.363,,,,,,0.94,,4.41,Terrestrial,Kepler-1542 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 4 days to complete one orbit of its starCOMMA and is 0.0479 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1542 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 4 days to complete one orbit of its starCOMMA and is 0.0479 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2426/kepler-1542-b/,A rocky world outside our solar system
2580,1,4,0,0,2.89223021,,0.65,0.208,,,,,,0.94,,4.41,Terrestrial,Kepler-1542 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.208 EarthsCOMMA it takes 2.9 days to complete one orbit of its starCOMMA and is 0.0389 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1542 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.208 EarthsCOMMA it takes 2.9 days to complete one orbit of its starCOMMA and is 0.0389 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2427/kepler-1542-c/,A rocky world outside our solar system
2581,1,4,0,0,5.99273738,,0.87,0.59,,,,,,0.94,,4.41,Terrestrial,Kepler-1542 d is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.59 EarthsCOMMA it takes 6 days to complete one orbit of its starCOMMA and is 0.0632 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1542 d is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.59 EarthsCOMMA it takes 6 days to complete one orbit of its starCOMMA and is 0.0632 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2412/kepler-1542-d/,A rocky world outside our solar system
2582,1,4,0,0,5.10115756,,0.76,0.363,,,,,,0.94,,4.41,Terrestrial,Kepler-1542 e is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 5.1 days to complete one orbit of its starCOMMA and is 0.0567 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1542 e is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.363 EarthsCOMMA it takes 5.1 days to complete one orbit of its starCOMMA and is 0.0567 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2413/kepler-1542-e/,A rocky world outside our solar system
2583,1,1,0,0,6.96710269,,2.71,,,,,,,1.39,,4.14,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2584,1,1,0,0,168.811174,,1.78,,,,,,,0.81,,4.61,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2585,1,1,0,0,163.692349,,2.7,,,,,,,0.84,,4.57,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2586,1,1,0,0,19.5974971,,3.13,,,,,,,0.95,,4.48,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2587,1,1,0,0,0.69297968,,0.9,0.666,,,,,,1.12,,4.34,Terrestrial,Kepler-1547 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.666 EarthsCOMMA it takes 0.7 days to complete one orbit of its starCOMMA and is 0.0165 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1547 b is a terrestrial exoplanet that orbits an F-type star. Its mass is 0.666 EarthsCOMMA it takes 0.7 days to complete one orbit of its starCOMMA and is 0.0165 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2418/kepler-1547-b/,A rocky world outside our solar system
2588,1,1,0,0,124.828679,,2.64,,,,,,,0.99,,4.46,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2589,1,1,0,0,214.886545,,2.57,,,,,,,0.88,,4.54,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2590,1,2,0,0,5.931194,0.056,2.09,,,,,,,,,4.68,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2591,1,2,0,0,52.661793,0.242,2.24,,,,,,,,,4.68,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2592,1,1,0,0,225.582809,,3.02,,,,,,,1.07,,4.38,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2593,1,1,0,0,24.4973698,,2.66,,,,,,,1.14,,4.32,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2594,1,1,0,0,184.771853,,2.47,,,,,,,0.85,,4.58,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2595,1,1,0,0,4.24261881,,1.15,,,,,,,0.85,,4.56,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2596,1,1,0,0,198.088774,,2.9,,,,,,,0.84,,4.56,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2597,1,1,0,0,8.10501635,,1.61,,,,,,,1.04,,4.4,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2598,1,1,0,0,8.82713457,,1.96,,,,,,,0.97,,4.47,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2599,1,1,0,0,3.74032496,,1.53,,,,,,,1.11,,4.34,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2600,1,1,0,0,3.50470358,,0.68,0.244,,,,,,0.83,,4.57,Terrestrial,Kepler-1558 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.244 EarthsCOMMA it takes 3.5 days to complete one orbit of its starCOMMA and is 0.0419 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1558 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.244 EarthsCOMMA it takes 3.5 days to complete one orbit of its starCOMMA and is 0.0419 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2433/kepler-1558-b/,A rocky world outside our solar system
2601,1,1,0,0,0.97191543,,0.72,0.299,,,,,,0.86,,4.55,Terrestrial,Kepler-1559 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.299 EarthsCOMMA it takes 1 days to complete one orbit of its starCOMMA and is 0.018 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1559 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.299 EarthsCOMMA it takes 1 days to complete one orbit of its starCOMMA and is 0.018 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2434/kepler-1559-b/,A rocky world outside our solar system
2602,1,2,0,0,4.973456,0.054,2.3,,,,,,,,,4.55,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2603,1,2,0,0,15.906801,0.117,2.55,,,,,,,,,4.55,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2604,1,1,0,0,3.03195744,,0.89,0.64,,,,,,1.02,,4.43,Terrestrial,Kepler-1560 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.64 EarthsCOMMA it takes 3 days to complete one orbit of its starCOMMA and is 0.0397 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1560 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.64 EarthsCOMMA it takes 3 days to complete one orbit of its starCOMMA and is 0.0397 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2435/kepler-1560-b/,A rocky world outside our solar system
2605,1,1,0,0,1.00520701,,1.09,,,,,,,1.07,,4.38,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2606,1,1,0,0,64.2737752,,3.55,,,,,,,1.02,,4.41,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2607,1,1,0,0,3.43276598,,0.75,0.347,,,,,,1,,4.45,Terrestrial,Kepler-1563 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.347 EarthsCOMMA it takes 3.4 days to complete one orbit of its starCOMMA and is 0.0442 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1563 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.347 EarthsCOMMA it takes 3.4 days to complete one orbit of its starCOMMA and is 0.0442 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2438/kepler-1563-b/,A rocky world outside our solar system
2608,1,1,0,0,18.0540381,,1.47,,,,,,,0.93,,4.5,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2609,1,1,0,0,1.53818844,,1.19,,,,,,,0.76,,4.6,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2610,1,1,0,0,0.53991524,,0.79,0.418,,,,,,0.84,,4.56,Terrestrial,Kepler-1566 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.418 EarthsCOMMA it takes 0.5 days to complete one orbit of its starCOMMA and is 0.0121 AU from its star. Its discovery was announced in 2016.,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Kepler-1566 b is a terrestrial exoplanet that orbits a K-type star. Its mass is 0.418 EarthsCOMMA it takes 0.5 days to complete one orbit of its starCOMMA and is 0.0121 AU from its star. Its discovery was announced in 2016.,/exoplanet-catalog/2441/kepler-1566-b/,A rocky world outside our solar system
2611,1,1,0,0,153.979578,,2.73,,,,,,,0.95,,4.49,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2612,1,1,0,0,20.925392,,1.3,,,,,,,1.09,,4.32,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2613,1,1,0,0,5.79180156,,1.68,,,,,,,1.25,,4.24,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,
2614,1,3,0,0,1.732342,0.028,1.32,,,,,,,,,4.39,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
2615,1,3,0,0,13.5405,0.11,2.24,,,,,,,,,4.39,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,
