,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses_from_Planetary_Systems_data_frame,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,discovery_reference,planetary parameter reference,description,url,subtitle
778,2,1,0,0,3638,5.02,,,,0.66,,,G1 V,1.29,0.572,4.24,,,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,,,
779,1,1,0,0,402,1.1,,,,0.2,,,K0,1.1,2.515,1.4,,,<a refstr=JEONG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...662A..12J/abstract target=ref>Jeong et al. 2022</a>,<a refstr=JEONG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...662A..12J/abstract target=ref>Jeong et al. 2022</a>,,,
780,2,1,0,0,1333,2.37,,,,0.48,,,,1.28,0.38,4.31,,,<a refstr=CORREIA_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...479..271C/abstract target=ref> Correia et al. 2008 </a>,<a refstr=FISCHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...703.1545F/abstract target=ref> Fischer et al. 2009 </a>,,,
781,2,1,0,0,1035.7,2.07,,,,0.22,,,F7 V,1.11,,4.4,,,<a refstr=ROBERTSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...39R/abstract target=ref> Robertson et al. 2012 </a>,<a refstr=ROBERTSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...39R/abstract target=ref> Robertson et al. 2012 </a>,,,
782,1,1,0,0,99.62167078,0.425988,,,,0.373206,,,,1.04,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
783,3,1,0,0,466.2,1.305,,,,0.063,,,F8 V,1.36,,,,,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,,,
784,1,2,0,0,11.8482,0.0974,,,,0.36,,,G8 V,0.88,-0.143,4.41,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
785,1,2,0,0,33.9239,0.1964,,,,0.1,,,G8 V,0.88,-0.143,4.41,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
786,1,2,0,0,606.3,1.565,,,,0.087,,,,1.39,,3.22,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,,
787,1,2,0,0,852.5,1.96,,,,0.243,,,,1.39,,3.22,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,,
788,2,1,0,1,1260,2.41,,5689.157,,0.22,,,G6 V,1.07,,4.5,,,<a refstr=CORREIA_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...440..751C/abstract target=ref> Correia et al. 2005 </a>,<a refstr=BENEDICT__AMP__HARRISON_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..258B/abstract target=ref>Benedict &amp; Harrison 2017</a>,,,
789,1,2,0,0,517.8,1.566,,634.38868,,0.011,,,K0 III-IV,1.91,1.369,3.11,,,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>,,,
790,1,2,0,0,946.6,2.342,,592.43512,,0.028,,,K0 III-IV,1.91,1.369,3.11,,,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>,,,
791,2,1,0,0,3.308958,0.05208,17.318,323.23311,0.343,0.038,3440,2132,,1.72,0.971,3.85,,,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...51W/abstract target=ref>Wang et al. 2019</a>,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...51W/abstract target=ref>Wang et al. 2019</a>,,,
792,1,1,0,0,,,14.46,3496.11248,,,,1040,G8 V,,,,,,<a refstr=METCHEV___HILLENBRAND_2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651.1166M/abstract target=ref> Metchev & Hillenbrand 2006 </a>,<a refstr=MILES_P_AACUTE_EZ_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..262M/abstract target=ref>Miles-P&aacute;ez et al. 2017</a>,,,
793,1,2,0,0,512.5351958,1.768964,,,,0.731843,,,,2.82,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
794,1,2,0,0,2481.07227,5.068253,,2375.78917,,0.201821,,,,2.82,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
795,1,1,0,0,1552.9,2.73,,,,0.289,,,G5,1.12,0.25,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,,,
796,1,1,0,0,1120,2.2,,,,0.71,,,,1.23,,4.38,,,<a refstr=TINNEY_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...587..423T/abstract target=ref> Tinney et al. 2003 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,,
797,1,3,0,0,2041.115385,3.183074,,1553.54852,,0.099741,,,,1.03,,,,,<a refstr=SEGRANSAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..45S/abstract target=ref> S&eacute;gransan et al. 2010 </a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
798,1,3,0,0,34.95875432,0.211213,,,,0.059476,,,,1.03,,,,,<a refstr=D_IACUTE_AZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.134D/abstract target=ref>D&iacute;az et al. 2016</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
799,1,3,0,0,7325.646662,7.444845,,4841.00771,,0.253187,,,,1.03,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
800,2,1,0,0,1733,2.55,,,,0.37,,,,0.58,,4.42,,,<a refstr=DUMUSQUE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...535A..55D/abstract target=ref> Dumusque et al. 2011 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,,
801,1,1,0,0,25.33798092,0.177326,,,,0.145252,,,,1.16,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,
802,1,1,0,0,279.8,0.896,,,,0.27,,,,1.22,0.36,4.29,,,<a refstr=LOPEZ_MORALES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008AJ....136.1901L/abstract target=ref> Lopez-Morales et al. 2008 </a>,<a refstr=LOPEZ_MORALES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008AJ....136.1901L/abstract target=ref> Lopez-Morales et al. 2008 </a>,,,
803,1,1,0,0,96.045,0.461,,,,0.23,,,G5 IV/V,1.42,,,,,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,,,
804,1,1,0,0,673.2,1.74,,,,0.1,,,,1.55,,3.22,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASP..122..701J/abstract target=ref> Johnson et al. 2010 </a>,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,,
805,1,1,0,0,10600,10.4,,8263.53858,,0.23,,1500,F5 V,1.31,,4.45,,,<a refstr=WARD_DUONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....5W/abstract target=ref>Ward-Duong et al. 2021</a>,<a refstr=WARD_DUONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....5W/abstract target=ref>Ward-Duong et al. 2021</a>,,,
806,2,5,0,0,5.3135,0.0529,,,,0.1,,,K0 V,0.7,-0.31,4.37,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
807,2,5,0,0,13.8905,0.1004,,,,0.09,,,K0 V,0.7,-0.31,4.37,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
808,2,5,0,0,29.158,0.1647,,,,0.11,,,K0 V,0.7,-0.31,4.37,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
809,2,5,0,0,85.5073,0.3374,,,,0.06,,,K0 V,0.7,-0.31,4.37,,,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
810,2,5,0,0,597.0643,1.3649,,,,0.95,,,,1.04,0.107,4.35,,,<a refstr=JONES_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006MNRAS.369..249J/abstract target=ref> Jones et al. 2006 </a>,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,,,
811,3,2,0,0,160.07,0.586,,,,0.197,,,G5 V,1.05,-0.11,,,,<a refstr=HAGHIGHIPOUR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...91H/abstract target=ref> Haghighipour et al. 2012 </a>,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,,,
812,3,2,0,0,1155.7,2.112,,,,0.27,,,,0.94,-0.112,,,,<a refstr=HAGHIGHIPOUR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...91H/abstract target=ref> Haghighipour et al. 2012 </a>,<a refstr=HAGHIGHIPOUR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...91H/abstract target=ref> Haghighipour et al. 2012 </a>,,,
813,1,1,0,0,16.202159,0.1163,2.501,14.4,5.05,0.047,26.5,632,K0 V,0.8,-0.444,4.56,,,<a refstr=HEIDARI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.176H/abstract target=ref>Heidari et al. 2022</a>,<a refstr=HEIDARI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.176H/abstract target=ref>Heidari et al. 2022</a>,,,
814,1,4,0,0,18.315,0.1207,,,,0,,660,G8 V,0.7,,4.22,,,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,,,
815,1,4,0,0,40.114,0.2036,,,,0,,508,G8 V,0.7,,4.22,,,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,,,
816,1,4,0,0,90.309,0.3499,,,,0,,388,G8 V,0.7,,4.22,,,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,,,
